Experiment,Test Type,Window Size,Test Accuracy,Test Loss,Train Accuracy,Train Loss
acl18-hid4.n_inner10_1,test1,5,0.5060,0.9106,0.5483,0.8872
acl18-hid4.n_inner10_1,test1,10,0.5067,0.9496,0.5483,0.8872
acl18-hid4.n_inner10_1,test1,15,0.5013,0.9699,0.5483,0.8872
acl18-hid4.n_inner10_1,test1,20,0.4973,1.0423,0.5483,0.8872
acl18-hid4.n_inner10_1,test2,5,0.4873,0.9114,0.5483,0.8872
acl18-hid4.n_inner10_1,test2,10,0.5007,0.9394,0.5483,0.8872
acl18-hid4.n_inner10_1,test2,15,0.4847,1.0296,0.5483,0.8872
acl18-hid4.n_inner10_1,test2,20,0.4707,1.0759,0.5483,0.8872
acl18-hid4.n_inner10_1,test3,5,0.4960,0.8874,0.5483,0.8872
acl18-hid4.n_inner10_1,test3,10,0.4913,0.9262,0.5483,0.8872
acl18-hid4.n_inner10_1,test3,15,0.5047,0.9726,0.5483,0.8872
acl18-hid4.n_inner10_1,test3,20,0.4760,1.0425,0.5483,0.8872
acl18-hid8.n_inner10_1,test1,5,0.5280,0.8304,0.5667,0.7848
acl18-hid8.n_inner10_1,test1,10,0.4707,0.8690,0.5667,0.7848
acl18-hid8.n_inner10_1,test1,15,0.4940,0.8960,0.5667,0.7848
acl18-hid8.n_inner10_1,test1,20,0.4613,0.9750,0.5667,0.7848
acl18-hid8.n_inner10_1,test2,5,0.5120,0.8225,0.5667,0.7848
acl18-hid8.n_inner10_1,test2,10,0.5020,0.8587,0.5667,0.7848
acl18-hid8.n_inner10_1,test2,15,0.4840,0.8765,0.5667,0.7848
acl18-hid8.n_inner10_1,test2,20,0.4653,0.9413,0.5667,0.7848
acl18-hid8.n_inner10_1,test3,5,0.5367,0.8351,0.5667,0.7848
acl18-hid8.n_inner10_1,test3,10,0.5093,0.8538,0.5667,0.7848
acl18-hid8.n_inner10_1,test3,15,0.4787,0.8911,0.5667,0.7848
acl18-hid8.n_inner10_1,test3,20,0.4633,0.9478,0.5667,0.7848
kdd17-hid16.n_inner10_1,test1,5,0.5227,0.7840,0.5683,0.7367
kdd17-hid16.n_inner10_1,test1,10,0.4880,0.8197,0.5683,0.7367
kdd17-hid16.n_inner10_1,test1,15,0.5260,0.7588,0.5683,0.7367
kdd17-hid16.n_inner10_1,test1,20,0.4953,0.8016,0.5683,0.7367
kdd17-hid16.n_inner10_1,test2,5,0.4973,0.8215,0.5683,0.7367
kdd17-hid16.n_inner10_1,test2,10,0.4913,0.8079,0.5683,0.7367
kdd17-hid16.n_inner10_1,test2,15,0.5193,0.7585,0.5683,0.7367
kdd17-hid16.n_inner10_1,test2,20,0.4713,0.8301,0.5683,0.7367
kdd17-hid16.n_inner10_1,test3,5,0.4913,0.8054,0.5683,0.7367
kdd17-hid16.n_inner10_1,test3,10,0.4853,0.8154,0.5683,0.7367
kdd17-hid16.n_inner10_1,test3,15,0.5207,0.7487,0.5683,0.7367
kdd17-hid16.n_inner10_1,test3,20,0.4900,0.7585,0.5683,0.7367
kdd17-hid8.n_inner10_1,test1,5,0.5300,0.8153,0.5667,0.7695
kdd17-hid8.n_inner10_1,test1,10,0.5380,0.7589,0.5667,0.7695
kdd17-hid8.n_inner10_1,test1,15,0.5160,0.7831,0.5667,0.7695
kdd17-hid8.n_inner10_1,test1,20,0.5007,0.8282,0.5667,0.7695
kdd17-hid8.n_inner10_1,test2,5,0.5027,0.8587,0.5667,0.7695
kdd17-hid8.n_inner10_1,test2,10,0.5247,0.7906,0.5667,0.7695
kdd17-hid8.n_inner10_1,test2,15,0.5007,0.8118,0.5667,0.7695
kdd17-hid8.n_inner10_1,test2,20,0.5147,0.8297,0.5667,0.7695
kdd17-hid8.n_inner10_1,test3,5,0.5753,0.7334,0.5667,0.7695
kdd17-hid8.n_inner10_1,test3,10,0.5433,0.7418,0.5667,0.7695
kdd17-hid8.n_inner10_1,test3,15,0.5193,0.7698,0.5667,0.7695
kdd17-hid8.n_inner10_1,test3,20,0.4947,0.8054,0.5667,0.7695
acl18-hid16.n_inner10_1,test1,5,0.5127,0.8559,0.6033,0.7289
acl18-hid16.n_inner10_1,test1,10,0.4667,0.8934,0.6033,0.7289
acl18-hid16.n_inner10_1,test1,15,0.5060,0.8680,0.6033,0.7289
acl18-hid16.n_inner10_1,test1,20,0.4947,0.8722,0.6033,0.7289
acl18-hid16.n_inner10_1,test2,5,0.5267,0.8169,0.6033,0.7289
acl18-hid16.n_inner10_1,test2,10,0.5327,0.8114,0.6033,0.7289
acl18-hid16.n_inner10_1,test2,15,0.5360,0.7785,0.6033,0.7289
acl18-hid16.n_inner10_1,test2,20,0.5147,0.8292,0.6033,0.7289
acl18-hid16.n_inner10_1,test3,5,0.5173,0.8422,0.6033,0.7289
acl18-hid16.n_inner10_1,test3,10,0.5180,0.8136,0.6033,0.7289
acl18-hid16.n_inner10_1,test3,15,0.4867,0.8556,0.6033,0.7289
acl18-hid16.n_inner10_1,test3,20,0.5060,0.8473,0.6033,0.7289
kdd17-hid4.n_inner10_1,test1,5,0.5113,0.9048,0.5517,0.8344
kdd17-hid4.n_inner10_1,test1,10,0.5033,0.8487,0.5517,0.8344
kdd17-hid4.n_inner10_1,test1,15,0.4700,0.9252,0.5517,0.8344
