Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,136850.0,139627.0,136850.0,139610.0,139610.0,83200
2013-01-03,140000.0,141476.0,139278.0,140549.0,140549.0,100200
2013-01-04,140879.0,141004.0,140047.0,140803.0,140803.0,34700
2013-01-07,140949.0,140949.0,139731.0,140190.0,140190.0,60400
2013-01-08,140195.0,141000.0,139584.0,141000.0,141000.0,61700
2013-01-09,141188.0,141365.0,139819.0,140000.0,140000.0,39400
2013-01-10,140750.0,142000.0,140247.0,141768.0,141768.0,55400
2013-01-11,142000.0,142050.0,141390.0,141525.0,141525.0,40200
2013-01-14,141745.0,143043.0,141320.0,143000.0,143000.0,37800
2013-01-15,142544.0,143401.0,142131.0,143205.0,143205.0,41500
2013-01-16,143000.0,143146.0,142500.0,142964.0,142964.0,49600
2013-01-17,143228.0,143607.0,142738.0,143484.0,143484.0,46400
2013-01-18,143700.0,143792.0,142670.0,143502.0,143502.0,85200
2013-01-22,143585.0,144805.0,143014.0,144805.0,144805.0,68500
2013-01-23,144775.0,145690.0,144250.0,145568.0,145568.0,40700
2013-01-24,145635.0,147250.0,145635.0,146227.0,146227.0,115800
2013-01-25,146700.0,147312.0,145963.0,147290.0,147290.0,72000
2013-01-28,147475.0,147475.0,146420.0,146720.0,146720.0,42400
2013-01-29,146640.0,146810.0,146000.0,146495.0,146495.0,57100
2013-01-30,146600.0,146600.0,145270.0,145505.0,145505.0,40800
2013-01-31,145250.0,146150.0,144555.0,145875.0,145875.0,58400
2013-02-01,146759.0,148562.0,146106.0,147086.0,147086.0,47700
2013-02-04,146943.0,146943.0,145010.0,145010.0,145010.0,27300
2013-02-05,145879.0,147323.0,145879.0,146825.0,146825.0,39200
2013-02-06,146600.0,147090.0,146401.0,146735.0,146735.0,40600
2013-02-07,146944.0,147350.0,146175.0,146260.0,146260.0,54900
2013-02-08,146320.0,146686.0,145521.0,146374.0,146374.0,26400
2013-02-11,146220.0,146597.0,145835.0,145835.0,145835.0,17300
2013-02-12,146200.0,147362.0,146100.0,147125.0,147125.0,34900
2013-02-13,147126.0,147767.0,147046.0,147750.0,147750.0,46500
2013-02-14,147750.0,149804.0,147478.0,149240.0,149240.0,50000
2013-02-15,149815.0,153090.0,149620.0,150141.0,150141.0,54600
2013-02-19,150250.0,152498.0,150099.0,152498.0,152498.0,55100
2013-02-20,152695.0,153160.0,151000.0,151000.0,151000.0,106300
2013-02-21,151002.0,151369.0,150048.0,150500.0,150500.0,45100
2013-02-22,151495.0,152362.0,150904.0,152009.0,152009.0,48100
2013-02-25,152251.0,153010.0,148215.0,149900.0,149900.0,53900
2013-02-26,149524.0,149599.0,147950.0,148320.0,148320.0,40600
2013-02-27,148400.0,152099.0,148353.0,151916.0,151916.0,47900
2013-02-28,152450.0,153739.0,152323.0,152600.0,152600.0,87800
2013-03-01,152364.0,153500.0,150800.0,152750.0,152750.0,51200
2013-03-04,152378.0,153000.0,150803.0,152955.0,152955.0,97400
2013-03-05,153999.0,155230.0,153200.0,154425.0,154425.0,57100
2013-03-06,155000.0,155369.0,154208.0,155095.0,155095.0,40700
2013-03-07,155099.0,155417.0,154683.0,155210.0,155210.0,46000
